## 第1部分
1. 討論分享第一次想到做小圖或無圖版本的原因，以及想要分享的議題的重點。
2. 討論修改V台灣網站的版型，以及想要在手機上展示更多議題內容的方法。
3. 討論將議題分類為即將開始、意見徵集、研擬草案、交通約會和歷史案件，並提出設計方案。
4. 討論將議題的部分改成小圖，以便放置更多內容，並提出選擇特定分類的方法。
5. 討論Polis活動的報名情況，並提出可能性的提醒和分享後台的情況。
6. 討論下一週的時間表，以及初步檢視Police的報告，並調整M

## 第2部分
1. 成績上的表現是驚人的，因為在沒有新聞事件的情況下，成功提案的情況通常是因為有大量的情緒在一個地方，例如某個案件的處理後，議題相關的討論增加。
2. 目前有更多人參與網絡討論，大約三分之一比三分之二，兩者之間有討論的議題。
3. 討論活動的訂閱，有關於8月1號的活動有問題？是否有線上參與的興趣？活動的訂閱。
4. 討論活動的訂閱，關於未來在發展上的時候可以討論的議題，例如如果資源足夠的話，是否要再

## 第3部分
重點摘要：討論了公民審議的訓練方法，可能包括在手機上玩一個APP來學習相關秩序，並解答問題，以及在審議前進行教育學程。另外提到瑞士的投票案例，其中一個組織在討論前會讓參與者先聽同一個人講話，以確保大家都有相同的基本概念。這些方法可以讓參與者有自主學習的機會，並在進入討論之前有更深入的理解。
